yy1,y1,wgt,age,educ,edcl,norminc,liq,cds,nmmf,stocks,bond,ccbal,veh_inst,install
37,372,4523.90029268453,31,8,2,72400.0972414893,406.7049121548942,610.0573682323413,0,596.5005378271782,0,0,0,555.8300466116888
37,373,4552.102239599457,31,8,2,72400.0972414893,406.7049121548942,610.0573682323413,0,596.5005378271782,0,0,0,555.8300466116888
37,374,4583.223636916673,31,8,2,72400.0972414893,406.7049121548942,610.0573682323413,0,596.5005378271782,0,0,0,555.8300466116888
37,375,4563.247689911802,31,8,2,72400.0972414893,406.7049121548942,610.0573682323413,0,596.5005378271782,0,0,0,555.8300466116888
38,381,761.9943335244888,53,14,4,417692.8687008998,63174.82968806024,0,0,0,0,0,48804.58945858731,48804.58945858731
38,382,774.9131137050081,53,14,4,417692.8687008998,63174.82968806024,0,0,0,0,0,48804.58945858731,48804.58945858731
38,383,757.3747936301762,53,14,4,417692.8687008998,63174.82968806024,0,0,0,0,0,48804.58945858731,48804.58945858731
38,384,773.2100331926462,53,14,4,417692.8687008998,63174.82968806024,0,0,0,0,0,48804.58945858731,48804.58945858731
38,385,785.7971128623894,53,14,4,417692.8687008998,63174.82968806024,0,0,0,0,0,48804.58945858731,48804.58945858731
39,391,10818.62669773696,60,1,1,9746.16693635433,0,0,0,0,0,0,0,0
39,392,10728.60036887959,60,1,1,9746.16693635433,0,0,0,0,0,0,0,0
39,393,10717.39644310665,60,1,1,9746.16693635433,0,0,0,0,0,0,0,0
39,394,10778.98275053407,60,1,1,9746.16693635433,0,0,0,0,0,0,0,0
39,395,10797.33652188147,60,1,1,9746.16693635433,0,0,0,0,0,0,0,0
40,401,7095.460112357139,72,8,2,61261.62074279864,36332.30548583722,0,0,0,0,650.7278594478307,0,0
40,402,7333.301641075877,72,8,2,61261.62074279864,36332.30548583722,0,0,0,0,650.7278594478307,0,0
40,403,7391.695753559648,72,8,2,59869.31118046232,36332.30548583722,0,0,0,0,650.7278594478307,0,0
40,404,7319.532592379217,72,8,2,59869.31118046232,36332.30548583722,0,0,0,0,650.7278594478307,0,0
40,405,7430.416418782412,72,8,2,59869.31118046232,36332.30548583722,0,0,0,0,650.7278594478307,0,0
41,411,7953.169208077037,39,12,4,167077.1474803599,3253.639297239154,0,6778.41520258157,0,0,3660.344209394048,40670.49121548942,40670.49121548942
41,412,8829.72182316344,39,12,4,167077.1474803599,3253.639297239154,0,6778.41520258157,0,0,3660.344209394048,39314.80817497311,39314.80817497311
41,413,7851.258261626259,39,12,4,167077.1474803599,3253.639297239154,0,6778.41520258157,0,0,3660.344209394048,35247.75905342417,35247.75905342417
41,414,7839.489540503991,39,12,4,167077.1474803599,3253.639297239154,0,6778.41520258157,0,0,3660.344209394048,36603.44209394048,36603.44209394048
41,415,8190.614631719883,39,12,4,167077.1474803599,3253.639297239154,0,6778.41520258157,0,0,3660.344209394048,40670.49121548942,40670.49121548942
42,421,4839.726904858234,47,8,2,33415.42949607199,203.3524560774471,0,0,0,0,1762.387952671208,0,0
42,422,4828.896956036054,47,8,2,33415.42949607199,203.3524560774471,0,0,0,0,1762.387952671208,0,0
42,423,4863.504856596357,47,8,2,33415.42949607199,203.3524560774471,0,0,0,0,1762.387952671208,0,0
